route_class,customers_class,window_class,method,n_feasible,n_gap_samples,n_infeasible_excluded,n_unsolved_excluded,gap_mean_%,gap_std_%,gap_median_%,gap_q1_%,gap_q3_%,gap_min_%,gap_max_%
medium,few,none,RO,50,50,0,0,36.978,9.503,38.387,33.958,40.449,19.471,55.723
medium,few,none,greedy,47,47,3,0,16.121,9.394,12.010,10.970,13.909,9.117,42.045
medium,few,tight,2SP,44,44,6,0,10.850,9.483,6.820,4.679,13.336,1.422,40.420
medium,few,tight,LA,49,49,1,0,10.007,4.927,8.913,7.739,11.413,3.741,31.033
medium,few,tight,RO,50,50,0,0,33.698,9.222,35.866,24.934,40.349,19.517,56.874
medium,few,tight,greedy,48,48,2,0,17.757,7.271,15.648,13.842,17.575,11.608,43.581
medium,many,large,2SP,42,42,8,0,14.884,14.902,6.044,3.655,25.972,2.277,64.592
medium,many,large,LA,48,48,2,0,13.852,5.858,13.225,9.541,16.749,5.926,28.350
medium,many,large,RO,50,50,0,0,39.695,10.534,35.935,31.030,48.208,24.797,61.629
medium,many,large,greedy,49,49,1,0,19.713,7.274,18.511,15.057,20.737,8.710,37.046
medium,many,medium,2SP,39,39,11,0,17.352,14.957,12.690,5.277,26.857,1.908,57.148
medium,many,medium,LA,48,48,2,0,20.317,12.329,17.381,13.443,23.321,4.305,79.356
medium,many,medium,RO,50,50,0,0,40.345,10.086,37.923,31.913,49.712,25.353,60.347
medium,many,medium,greedy,50,50,0,0,27.972,7.722,25.908,22.256,30.547,17.054,47.665
medium,many,none,2SP,43,43,7,0,10.167,7.941,5.395,3.917,19.154,1.095,23.184
medium,many,none,LA,47,47,3,0,9.017,6.382,6.613,5.668,8.001,3.896,25.335
medium,many,none,RO,50,50,0,0,27.130,7.753,31.047,19.449,34.969,17.522,37.729
medium,many,none,greedy,49,49,1,0,14.119,6.750,11.392,9.923,13.410,8.336,31.019
medium,many,tight,2SP,41,41,7,0,26.166,13.341,24.560,15.347,35.427,4.398,57.706
medium,many,tight,LA,47,47,3,0,25.213,7.639,25.461,19.781,29.323,8.108,45.245
medium,many,tight,RO,50,50,0,0,43.901,8.355,45.018,36.968,49.788,25.378,62.980
medium,many,tight,greedy,50,50,0,0,32.181,6.744,31.285,27.360,35.696,20.716,51.437
medium,medium,large,2SP,41,41,9,0,10.842,10.978,5.089,3.714,18.914,2.706,41.589
medium,medium,large,LA,50,50,0,0,9.907,5.347,8.988,7.724,10.674,-11.629,22.467
medium,medium,large,RO,50,50,0,0,36.807,9.776,38.797,27.705,46.448,22.074,51.262
medium,medium,large,greedy,50,50,0,0,16.549,5.728,15.056,13.299,16.560,8.446,33.977
medium,medium,medium,2SP,40,40,10,0,11.854,9.755,8.241,5.161,14.356,1.806,42.669
medium,medium,medium,LA,50,50,0,0,13.617,6.165,13.063,9.394,14.906,4.164,31.558
medium,medium,medium,RO,50,50,0,0,38.779,9.132,41.133,30.263,47.567,21.627,51.213
medium,medium,medium,greedy,49,49,1,0,19.434,5.352,18.117,16.417,20.151,12.569,36.045
medium,medium,none,2SP,44,44,6,0,10.245,9.855,4.849,3.623,19.243,2.258,41.950
medium,medium,none,LA,49,49,1,0,8.052,4.634,6.714,6.188,7.882,3.545,24.074
medium,medium,none,RO,50,50,0,0,30.055,7.692,33.134,21.386,37.483,19.003,39.987
medium,medium,none,greedy,50,50,0,0,12.782,4.678,11.606,10.358,12.870,9.230,28.709
medium,medium,tight,2SP,39,39,11,0,13.887,10.222,10.356,6.347,21.516,2.635,44.609
medium,medium,tight,LA,46,46,4,0,14.898,5.776,13.896,11.556,17.063,4.156,31.322
medium,medium,tight,RO,50,50,0,0,36.440,8.025,36.540,29.493,44.163,22.693,49.977
medium,medium,tight,greedy,49,49,1,0,21.999,5.886,20.173,18.728,23.536,13.853,37.304
short,few,large,2SP,46,46,4,0,3.998,1.617,3.821,2.931,5.001,1.264,8.776
short,few,large,LA,50,50,0,0,8.947,3.870,8.111,6.135,11.395,2.849,19.398
short,few,large,RO,50,50,0,0,22.173,16.253,14.377,6.237,38.048,2.105,46.587
short,few,large,ROBU,46,46,3,1,14.258,14.605,5.662,3.942,33.614,1.529,39.238
short,few,large,greedy,50,50,0,0,15.788,4.114,16.054,13.332,18.575,8.352,25.583
short,few,medium,2SP,45,45,5,0,4.023,1.438,3.603,3.097,4.997,1.572,8.066
short,few,medium,LA,50,50,0,0,10.192,3.974,9.778,7.148,12.767,4.229,20.924
short,few,medium,RO,50,50,0,0,23.723,16.968,23.821,8.045,39.756,1.676,46.454
short,few,medium,ROBU,48,48,2,0,16.109,14.792,8.050,4.315,34.059,2.054,45.358
short,few,medium,greedy,49,49,1,0,17.142,4.587,17.303,14.459,21.022,6.846,26.737
short,few,none,2SP,48,48,2,0,3.678,1.321,3.770,2.660,4.520,1.329,6.387
short,few,none,LA,48,48,2,0,6.751,2.282,7.117,4.612,8.758,3.520,10.770
short,few,none,RO,50,50,0,0,21.434,15.219,33.132,4.471,34.754,2.858,38.791
short,few,none,ROBU,48,48,2,0,14.098,14.398,4.146,3.322,32.945,1.307,35.099
short,few,none,greedy,50,50,0,0,12.986,3.098,13.387,10.973,15.466,7.136,17.706
short,few,tight,2SP,44,44,6,0,4.268,2.712,3.318,2.135,6.025,1.363,11.940
short,few,tight,LA,50,50,0,0,10.286,3.845,9.614,7.107,12.553,4.499,21.034
short,few,tight,RO,50,50,0,0,27.190,16.201,37.097,9.017,41.846,3.831,47.639
short,few,tight,ROBU,50,50,0,0,15.817,14.109,8.565,7.099,14.571,1.960,44.355
short,few,tight,greedy,49,49,1,0,18.872,4.389,18.492,16.101,22.528,8.694,27.522
short,many,large,2SP,46,46,4,0,3.891,6.621,2.825,2.062,3.437,0.605,46.851
short,many,large,LA,50,50,0,0,11.783,7.150,10.179,7.318,14.364,2.277,46.125
short,many,large,RO,50,50,0,0,38.970,15.645,42.411,36.195,49.992,2.962,61.420
short,many,large,ROBU,46,46,4,0,24.193,15.090,32.348,6.945,36.307,2.939,44.857
short,many,large,greedy,50,50,0,0,18.488,8.683,16.553,13.700,19.539,7.625,53.142
short,many,medium,2SP,45,45,5,0,5.196,7.368,3.143,2.137,4.754,1.053,43.520
short,many,medium,LA,49,49,1,0,21.935,25.224,15.031,9.168,26.341,3.053,155.882
short,many,medium,RO,50,50,0,0,47.966,16.293,49.734,43.041,56.854,6.329,77.812
short,many,medium,ROBU,48,48,1,1,36.407,18.131,43.144,16.475,50.519,2.124,65.535
short,many,medium,greedy,49,49,1,0,33.563,14.570,29.558,24.878,37.654,11.253,70.969
short,many,none,2SP,49,49,1,0,4.707,6.545,3.068,2.547,3.812,0.731,34.516
short,many,none,LA,50,50,0,0,5.836,4.324,4.819,3.944,7.383,1.665,31.517
short,many,none,RO,50,50,0,0,26.777,9.380,29.920,28.397,31.790,2.940,34.474
short,many,none,ROBU,49,49,1,0,22.031,12.000,28.553,4.333,29.866,2.316,33.654
short,many,none,greedy,50,50,0,0,14.753,9.988,12.007,8.908,13.846,5.812,39.336
short,many,tight,2SP,44,44,6,0,10.378,10.650,6.497,3.385,12.792,1.403,55.337
short,many,tight,LA,47,47,3,0,16.993,13.472,11.647,6.991,23.240,2.795,57.899
short,many,tight,RO,50,50,0,0,51.997,14.229,54.250,44.340,62.277,19.226,74.130
short,many,tight,ROBU,47,47,2,1,45.827,15.559,46.962,36.321,55.963,15.472,72.599
short,many,tight,greedy,50,50,0,0,41.640,12.655,39.083,33.640,44.516,20.159,78.868
short,medium,large,2SP,46,46,4,0,3.619,1.424,3.534,2.744,4.232,1.048,8.152
short,medium,large,LA,50,50,0,0,11.492,4.498,11.672,8.430,14.262,3.785,21.519
