km,kw,hgv,truck,dist_km,lat,lon,name,osm
3316.95,3.60,,,0.60,58.15,8.00,"Recharge TP Torvet Kristiansand",node/6016123021
3316.95,11.00,,,0.95,58.14,8.00,"Mer Kilden parkeringshus",node/6016123028
3316.95,43.00,,,0.35,58.15,7.99,"Kople Eventyrgården",node/6016123040
3316.95,11.00,,,0.50,58.15,7.99,"Kople Gyldengården U1",node/6016123048
3316.95,7.36,,,0.63,58.15,8.00,"Mer Kristiansand parkering Gyldenløvesgate 24",node/6968236224
3316.95,200.00,,,0.15,58.15,7.99,"Kople Rutebilstasjonen",node/6970018241
3321.00,50.00,,,0.39,58.18,8.13,"Mer Obs Sørlandssenteret",node/6016123029
3321.00,150.00,,,0.31,58.18,8.13,"Mer Sørlandssenteret",node/8373357975
3321.00,300.00,,,0.53,58.18,8.14,"Circle K Sørlandsparken",node/11173760414
3321.00,100.00,,,0.73,58.17,8.13,"British Cars Kristiansand",node/11224560555
3321.00,250.00,,,0.58,58.18,8.14,"Tesla Kristiansand Supercharger",node/11737018569
3325.45,200.00,,,0.24,58.24,8.30,"E.ON Lillesand",node/6016034804
3325.45,300.00,,,0.38,58.24,8.30,"Circle K E18 Lillesand",node/6016034806
3325.45,150.00,,,0.42,58.24,8.30,"Lillesand Supercharger",node/6016034820
3325.45,50.00,,,0.22,58.24,8.30,"Recharge YX Lillesand",node/6016034837
3325.45,350.00,,,0.44,58.24,8.30,"Ionity Lillesand",node/6603282941
3325.45,400.00,,,0.26,58.24,8.30,"Kople YX Lillesand E18",node/12824186860
