route_class,customers_class,window_class,method,n_feasible,n_gap_samples,n_infeasible_excluded,n_unsolved_excluded,gap_mean_%,gap_std_%,gap_median_%,gap_q1_%,gap_q3_%,gap_min_%,gap_max_%
short,few,medium,2SP,24,24,1,0,2.222,0.962,1.972,1.654,2.893,0.110,3.848
short,few,medium,LA,3,3,0,0,6.992,1.812,6.037,5.948,7.559,5.858,9.082
short,few,medium,RO,25,25,0,0,21.583,16.240,8.635,6.564,36.966,3.867,42.139
short,few,medium,greedy,25,25,0,0,7.007,1.597,7.032,5.476,7.772,4.822,10.568
short,few,none,2SP,23,23,2,0,2.298,1.061,1.967,1.544,2.849,0.236,4.692
short,few,none,LA,25,25,0,0,5.014,1.680,5.167,3.650,6.324,2.243,8.471
short,few,none,RO,25,25,0,0,22.261,15.387,32.696,4.112,34.430,2.726,38.074
short,few,none,ROBU,25,25,0,0,17.053,15.095,4.764,3.809,33.347,2.365,36.008
short,few,none,greedy,25,25,0,0,5.967,2.018,5.573,4.532,7.217,1.962,10.330
short,few,tight,2SP,24,24,1,0,2.544,1.058,2.557,1.865,3.127,-0.218,4.501
short,few,tight,LA,25,25,0,0,6.647,2.815,6.633,4.769,8.477,2.026,11.577
short,few,tight,RO,25,25,0,0,25.031,15.911,36.183,7.924,39.101,5.540,42.462
short,few,tight,ROBU,24,24,0,1,12.965,12.828,7.422,5.909,9.817,2.738,38.699
short,few,tight,greedy,25,25,0,0,7.606,2.648,7.165,6.150,8.928,3.842,17.108
short,many,large,2SP,22,22,3,0,1.791,0.984,1.567,1.387,2.078,0.644,4.862
short,many,large,RO,25,25,0,0,32.368,13.244,37.178,33.213,39.742,6.172,46.623
short,many,large,greedy,25,25,0,0,8.160,3.176,8.318,5.496,9.558,2.786,14.905
short,many,medium,2SP,1,1,0,0,3.435,0.000,3.435,3.435,3.435,3.435,3.435
short,many,medium,RO,9,9,0,0,37.046,11.265,36.921,35.684,43.900,10.039,49.614
short,many,medium,greedy,25,25,0,0,7.353,3.060,7.289,5.224,9.035,2.784,16.161
short,many,none,2SP,23,23,2,0,2.127,1.241,2.036,1.295,2.783,-0.048,5.182
short,many,none,LA,25,25,0,0,3.873,1.210,4.109,3.144,4.636,1.890,6.793
short,many,none,RO,25,25,0,0,27.593,8.890,30.371,28.915,31.873,3.398,34.952
short,many,none,ROBU,24,24,0,1,22.385,12.208,29.429,5.142,30.448,2.688,32.872
short,many,none,greedy,24,24,1,0,5.267,1.639,4.948,4.276,6.054,2.683,9.146
short,many,tight,2SP,25,25,0,0,5.716,9.515,2.538,1.922,4.277,0.060,36.733
short,many,tight,LA,25,25,0,0,8.831,4.864,8.078,4.790,10.476,2.132,21.096
short,many,tight,RO,25,25,0,0,40.455,11.563,42.718,39.112,47.598,8.286,54.064
short,many,tight,ROBU,23,23,2,0,36.896,13.462,40.767,36.475,44.967,7.530,52.217
short,many,tight,greedy,25,25,0,0,15.145,6.185,12.765,12.100,19.435,5.672,27.968
short,medium,large,greedy,25,25,0,0,7.163,2.900,6.309,5.295,8.413,3.834,13.329
short,medium,medium,greedy,24,24,1,0,8.039,3.132,8.277,4.875,9.758,3.055,15.599
short,medium,none,2SP,24,24,1,0,2.177,1.065,1.860,1.497,2.719,0.394,4.311
short,medium,none,LA,24,24,1,0,5.320,1.418,4.717,4.188,6.542,3.512,7.782
short,medium,none,RO,25,25,0,0,21.674,14.220,31.474,4.958,33.120,3.382,36.443
short,medium,none,ROBU,25,25,0,0,17.700,14.378,5.823,4.405,32.313,2.629,34.778
short,medium,none,greedy,25,25,0,0,5.278,1.801,5.095,4.018,5.784,2.675,11.674
short,medium,tight,2SP,22,22,3,0,3.480,1.719,3.360,2.231,4.616,0.889,7.342
short,medium,tight,LA,23,23,0,0,8.970,4.650,7.172,5.497,11.647,3.038,21.232
short,medium,tight,RO,25,25,0,0,31.439,14.084,36.742,17.011,40.860,2.613,44.959
short,medium,tight,ROBU,25,25,0,0,23.724,14.270,16.489,10.665,37.320,4.570,44.808
short,medium,tight,greedy,25,25,0,0,10.782,3.909,10.233,8.127,12.935,4.060,18.721
