config,n_scenarios,horizon_h,route_class,window_class,n_runs,n_infeasible,gap_pen_median_pct,gap_nopen_median_pct,duration_median_h,delta_vs_base_pct,n_paired,duration_pen_median_h,delta_pen_vs_base_pct,n_paired_pen,decision_mean_s_median,decision_cs_mean_s_median,decision_max_s_median,wall_clock_s_median
LOCAL,25,24.0,long,all,3,0,5.911,4.296,96.91,,0,98.41,,0,35.932,51.456,69.7488,5282.0
LOCAL,25,24.0,long,medium,1,0,13.59,13.59,117.512,,0,117.512,,0,37.0565,52.4298,69.7488,6003.2
LOCAL,25,24.0,long,none,1,0,4.009,4.009,96.189,,0,96.189,,0,34.1506,48.662,65.5441,4917.7
LOCAL,25,24.0,long,tight,1,0,5.911,4.296,96.91,,0,98.41,,0,35.932,51.456,71.4655,5282.0
