axis,tag,greedy_delta_%,n_greedy,la_delta_%,n_la,oracle_delta_%,n_oracle,oracle_delta_short_%,n_short,oracle_delta_medium_%,n_medium,oracle_delta_long_%,n_long,status
CS spacing 30 km,cs30,-1.15,274,,0,-1.10,300,-1.44,100,-1.23,100,-0.62,100,"greedy n=274, LA pending, oracle n=300"
CS spacing 100 km,cs100,2.36,261,2.16,11,1.46,300,1.66,100,1.83,100,0.88,100,"greedy n=261, LA n=11, oracle n=300"
Charger power 150 kW,kw150,19.69,264,16.80,199,18.57,300,14.41,100,19.39,100,21.92,100,"greedy n=264, LA n=199, oracle n=300"
Charger power 700 kW,kw700,-3.21,272,-4.08,211,-4.16,300,-3.40,100,-4.62,100,-4.44,100,"greedy n=272, LA n=211, oracle n=300"
Charger power 1000 kW,kw1000,0.34,255,-5.17,164,-4.89,300,-4.00,100,-5.40,100,-5.27,100,"greedy n=255, LA n=164, oracle n=300"
Battery 300 kWh,kwh300,14.98,252,10.05,191,6.32,300,6.34,100,7.05,100,5.57,100,"greedy n=252, LA n=191, oracle n=300"
Battery 700 kWh,kwh700,-0.62,251,-2.48,209,-2.36,300,-2.79,100,-2.49,100,-1.78,100,"greedy n=251, LA n=209, oracle n=300"
Battery 900 kWh,kwh900,-2.40,263,-4.30,207,-3.82,300,-4.89,100,-3.84,100,-2.73,100,"greedy n=263, LA n=207, oracle n=300"
