instance,n_stops,ours_min,theirs_min,diff_min,ours_s,theirs_s,status
1,56,1410.0,1410.0,0.0,1.32,0.05,optimal
4,48,1410.0,1425.0,-15.0,0.27,0.02,optimal
26,102,2640.0,2640.0,0.0,1.66,0.14,optimal
27,118,2880.0,2880.0,0.0,4.55,0.15,optimal
28,158,4065.0,4065.0,0.0,20.75,0.27,optimal
35,56,1304.9999,1305.0,-9.999999997489795e-05,0.44,0.04,optimal
36,64,1440.0,1440.0,0.0,0.69,0.05,optimal
37,145,4515.0,4530.0,-15.0,10.28,0.05,optimal
