route,cust,tw,seed,diesel_oracle_h,ev_oracle_h,pen_oracle_%,pen_greedy_%,naive_pen_%,coupling_%
medium,few,tight,5,48.022,49.079,2.20,22.58,11.95,72.6
medium,few,tight,6,67.567,69.907,3.46,21.42,12.47,71.0
medium,few,tight,7,46.546,47.614,2.29,,11.37,54.2
medium,few,tight,8,47.521,50.458,6.18,22.41,12.92,62.3
medium,few,tight,9,66.131,68.837,4.09,20.85,12.27,66.9
medium,few,tight,10,46.533,49.034,5.37,,12.21,65.9
medium,few,medium,1,43.457,45.196,4.00,24.59,11.49,73.7
medium,few,medium,2,65.899,68.506,3.96,22.44,12.12,57.4
medium,few,medium,3,53.186,55.737,4.80,45.70,13.62,83.0
medium,few,medium,4,49.658,51.191,3.09,22.27,12.16,90.6
medium,few,medium,5,56.110,67.711,20.68,21.89,14.19,82.7
medium,few,medium,6,48.075,49.997,4.00,20.53,12.74,81.6
medium,few,medium,7,48.266,51.241,6.16,22.61,13.31,72.5
medium,few,medium,8,43.813,45.303,3.40,18.68,10.98,73.4
medium,few,medium,9,52.280,54.394,4.04,24.42,13.49,82.9
medium,few,medium,10,50.852,51.682,1.63,18.98,11.79,52.2
medium,few,large,1,52.456,54.553,4.00,23.87,13.39,61.5
medium,few,large,2,48.650,52.275,7.45,22.73,12.74,73.9
medium,few,large,3,66.799,70.296,5.23,22.87,12.47,56.9
medium,few,large,4,67.338,70.673,4.95,22.08,12.58,77.8
medium,few,large,5,53.573,55.929,4.40,43.05,12.80,76.4
medium,few,large,6,47.256,49.958,5.72,25.79,12.31,63.3
medium,few,large,7,33.602,35.347,5.19,50.87,14.15,88.6
medium,few,large,8,46.963,49.621,5.66,18.62,12.34,62.9
medium,few,large,9,48.699,51.877,6.53,20.39,13.07,67.1
medium,few,large,10,66.220,69.665,5.20,22.32,12.26,51.2
medium,few,none,1,49.897,53.154,6.53,23.93,13.68,84.9
medium,few,none,2,48.286,50.347,4.27,20.78,12.73,72.7
medium,few,none,3,52.709,55.976,6.20,24.32,14.10,72.3
medium,few,none,4,66.271,69.010,4.13,,12.55,52.5
medium,few,none,5,67.193,69.976,4.14,20.60,12.50,61.5
medium,few,none,6,51.434,54.027,5.04,22.62,13.32,86.0
medium,few,none,7,52.930,56.470,6.69,23.21,14.05,85.3
medium,few,none,8,64.272,67.284,4.69,19.28,12.08,72.8
medium,few,none,9,47.327,50.165,6.00,21.76,13.20,76.5
medium,few,none,10,32.971,35.053,6.32,52.96,13.89,72.7
medium,many,tight,1,51.016,55.781,9.34,21.91,16.39,94.1
medium,many,tight,2,74.261,78.886,6.23,18.75,15.10,77.6
medium,many,tight,3,58.628,59.153,0.90,39.60,12.41,67.1
medium,many,tight,4,58.532,60.274,2.98,37.84,12.09,78.8
medium,many,tight,5,48.196,49.713,3.15,19.60,10.86,80.2
medium,many,tight,6,71.631,73.524,2.64,20.01,11.40,62.9
medium,many,tight,7,51.500,52.930,2.78,18.11,10.23,87.0
medium,many,tight,8,72.506,74.322,2.50,19.74,10.89,60.5
medium,many,tight,9,54.066,55.941,3.47,17.14,10.74,77.6
medium,many,tight,10,55.828,59.182,6.01,17.64,14.46,70.0
medium,many,medium,1,51.534,53.175,3.18,15.75,10.32,48.9
medium,many,medium,2,59.885,70.304,17.40,39.11,12.06,64.6
medium,many,medium,3,50.768,52.407,3.23,,10.95,86.3
medium,many,medium,4,50.011,52.587,5.15,25.18,11.79,69.8
medium,many,medium,5,55.700,57.180,2.66,20.10,12.13,79.1
medium,many,medium,6,46.966,48.704,3.70,18.25,10.95,74.5
medium,many,medium,7,55.412,69.741,25.86,42.40,17.57,71.9
medium,many,medium,8,56.365,56.927,1.00,39.68,11.85,70.1
medium,many,medium,9,53.127,58.240,9.63,21.92,16.81,66.4
medium,many,medium,10,53.962,55.584,3.01,18.89,11.00,61.7
medium,many,large,1,50.075,51.928,3.70,18.05,10.27,72.8
medium,many,large,2,55.298,57.382,3.77,37.80,11.09,65.4
medium,many,large,3,69.458,72.739,4.72,22.41,11.84,56.7
medium,many,large,4,55.849,58.438,4.63,,12.73,93.3
medium,many,large,5,53.262,55.716,4.61,20.63,10.57,67.5
medium,many,large,6,53.628,56.491,5.34,21.17,12.81,50.8
medium,many,large,7,58.681,70.594,20.30,,11.99,85.0
medium,many,large,8,49.287,51.461,4.41,20.19,11.54,71.2
medium,many,large,9,47.892,49.227,2.79,17.29,9.57,77.0
medium,many,large,10,48.567,49.679,2.29,18.18,11.56,53.5
medium,many,none,1,70.468,76.387,8.40,19.20,14.83,64.1
medium,many,none,2,70.186,77.029,9.75,19.56,16.14,76.2
medium,many,none,3,54.424,59.727,9.74,20.10,14.97,41.8
medium,many,none,4,52.810,58.435,10.65,,16.62,58.8
medium,many,none,5,70.494,77.001,9.23,21.48,15.54,63.4
medium,many,none,6,57.108,69.451,21.61,19.69,13.57,88.9
medium,many,none,7,57.371,71.807,25.16,38.31,17.08,74.3
medium,many,none,8,71.273,77.654,8.95,20.04,15.12,67.1
medium,many,none,9,52.093,56.970,9.36,20.19,14.74,80.6
medium,many,none,10,51.695,57.043,10.34,20.05,16.21,53.3
