DAgger round 1: 33 instances, label prob 0.35, model policy_K20_seedsplit_seed0_cw0.pt
  ScenarioTracker saved: /mnt/beegfs/users/celinep/ChargeAndBreak/ML/logs/RmediumCmanyTmedium_6_DAGGER1_S1_H24_20260821_095131_scenarios.json

  === SIMULATION TRAJECTORY ===
  stop   type    t_arr     soc     cd     sd     sw   y   brk   rst  action
  ───────────────────────────────────────────────────────────────────────────────────────────────
     0   ORIG    8.000   500.0   0.00   0.00   0.00   0     —     —  —
     1     CS    8.253   475.6   0.25   0.25   0.25   0     —     —  —
     2     CS    8.586   455.0   0.59   0.59   0.59   0     —     —  —
     3     CS    8.821   429.2   0.82   0.82   0.82   0     —     —  —
     4     CS    9.038   404.1   1.04   1.04   1.04   0     —     —  —
     5     CS    9.259   379.3   1.26   1.26   1.26   0     —     —  —
     6     CS    9.483   354.8   1.48   1.48   1.48   0     —     —  —
     7     CS    9.807   324.9   1.81   1.81   1.81   0     —     —  —
     8     CS   10.097   292.3   2.10   2.10   2.10   0     —     —  —
     9     CS   10.323   268.0   2.32   2.32   2.32   0     —     —  —
    10     CS   10.546   243.5   2.55   2.55   2.55   0     —     —  —
    11     CS   10.763   218.3   2.76   2.76   2.76   0     —     —  —
    12     CS   11.022   191.6   3.02   3.02   3.02   0     —     —  —
    13     CS   11.275   164.2   3.28   3.28   3.28   0     —     —  —
    14     CS   11.523   136.4   3.52   3.52   3.52   1   b45     —  CHARGE, BRK-B45
    15     CS   13.139   411.1   0.40   3.92   4.21   0     —     —  —
    16     CS   13.566   388.0   0.82   4.35   4.64   0     —     —  —
    17     CS   13.872   360.3   1.13   4.65   4.94   0     —     —  —
    18     CS   14.103   335.9   1.36   4.88   5.18   0     —     —  —
    19     CS   14.318   310.0   1.58   5.10   5.39   0     —     —  —
    20     CS   14.543   285.0   1.80   5.32   5.62   0     —     —  —
    21     CS   14.780   261.1   2.04   5.56   5.85   0     —     —  —
    22     CS   15.027   234.0   2.29   5.81   6.10   0     —     —  —
    23     CS   15.318   210.0   2.58   6.10   6.39   0     —     —  —
    24     CS   15.578   184.0   2.84   6.36   6.65   0     —     —  —
    25     CS   15.895   166.8   3.15   6.68   6.97   0     —     —  —
    26     CS   16.102   144.7   3.36   6.88   7.17   0     —     —  —
    27     CS   16.307   122.5   3.57   7.09   7.38   1   b45     —  CHARGE, BRK-B45
    28     CS   17.962   346.1   0.66   7.75   8.28   0     —     —  —
    29     CS   18.260   315.7   0.96   8.05   8.58   0     —     —  —
    30     CS   18.610   288.5   1.31   8.40   8.93   0     —     —  —
    31     CS   18.897   257.2   1.60   8.68   9.22   0     —     —  —
    32     CS   19.120   231.4   1.82   8.91   9.44   0     —     —  —
    33     CS   19.372   208.1   2.07   9.16   9.69   0     —     —  —
    34     CS   19.600   182.7   2.30   9.39   9.92   0     —     —  —
    35     CS   19.820   156.7   2.52   9.61  10.14   1   b45     —  CHARGE, BRK-B45
    36     CS   21.161   409.7   0.22   9.83  10.60   0     —    r2  REST-R2
    37     CS   30.566   384.3   0.24   0.24   0.24   0     —     —  —
    38     CS   30.806   358.9   0.48   0.48   0.48   0     —     —  —
    39     CS   31.044   332.1   0.72   0.72   0.72   0     —     —  —
    40   CUST   31.283   305.6   0.96   0.96   0.96   0     —     —  —
    41   CUST   32.015   278.2   1.19   1.19   1.69   0     —     —  —
    42     CS   32.542   275.9   1.21   1.21   2.21   0     —     —  —
    43   CUST   32.839   240.3   1.51   1.51   2.51   0     —     —  —
    44   CUST   33.345   239.6   1.52   1.52   3.02   0     —     —  —
    45     CS   34.281   196.5   1.95   1.95   3.95   0     —     —  —
    46     CS   34.654   160.6   2.33   2.33   4.33   1   b45     —  CHARGE, BRK-B45
    47     CS   36.182   409.0   0.22   2.54   5.00   0     —     —  —
    48     CS   36.464   387.6   0.50   2.83   5.28   0     —     —  —
    49     CS   36.723   365.0   0.76   3.09   5.54   0     —     —  —
    50     CS   36.959   338.0   0.99   3.32   5.77   0     —     —  —
    51     CS   37.206   312.1   1.24   3.57   6.02   0     —     —  —
    52     CS   37.459   286.7   1.49   3.82   6.27   0     —     —  —
    53     CS   37.689   259.2   1.72   4.05   6.50   0     —     —  —
    54     CS   37.963   236.1   2.00   4.32   6.78   0     —     —  —
    55     CS   38.218   211.9   2.25   4.58   7.03   0     —     —  —
    56     CS   38.451   185.9   2.49   4.81   7.27   1   b45     —  CHARGE, BRK-B45
    57     CS   39.922   387.6   0.20   5.01   7.99   0     —     —  —
    58     CS   40.139   365.6   0.42   5.23   8.20   0     —     —  —
    59   CUST   40.352   343.3   0.63   5.44   8.42   0     —     —  —
    60   CUST   40.971   329.3   0.75   5.56   9.04   0     —    r2  REST-R2
    61     CS   50.773   297.7   0.30   0.30   0.30   0     —     —  —
    62     CS   51.079   266.5   0.61   0.61   0.61   0     —     —  —
    63     CS   51.130   260.5   0.66   0.66   0.66   0     —     —  —
    64     CS   51.378   232.7   0.91   0.91   0.91   0     —     —  —
    65     CS   51.681   208.7   1.21   1.21   1.21   0     —     —  —
    66   CUST   51.980   184.5   1.51   1.51   1.51   0     —     —  —
    67     CS   52.512   181.4   1.54   1.54   2.04   0     —     —  —
    68     CS   52.754   160.8   1.78   1.78   2.28   0     —     —  —
    69     CS   53.019   141.2   2.05   2.05   2.55   0     —     —  —
    70     CS   53.225   117.9   2.25   2.25   2.75   1   b45     —  CHARGE, BRK-B45
    71     CS   54.839   425.1   0.23   2.49   3.33   0     —     —  —
    72     CS   55.052   401.2   0.45   2.70   3.54   0     —     —  —
    73     CS   55.308   380.3   0.70   2.96   3.79   0     —     —  —
    74     CS   55.553   356.1   0.95   3.20   4.04   0     —     —  —
    75     CS   55.801   332.1   1.20   3.45   4.29   0     —     —  —
    76     CS   56.037   307.2   1.43   3.69   4.52   0     —     —  —
    77     CS   56.234   284.1   1.63   3.88   4.72   0     —     —  —
    78     CS   56.463   263.6   1.86   4.11   4.95   0     —     —  —
    79     CS   56.663   240.9   2.06   4.31   5.15   0     —     —  —
    80     CS   56.919   214.0   2.31   4.57   5.41   0     —     —  —
    81     CS   57.189   188.2   2.58   4.84   5.68   0     —     —  —
    82     CS   57.449   161.6   2.84   5.10   5.94   0     —     —  —
[1/33] RmediumCmanyTmedium_6        labelled   28 states in  47.4 min
