DAgger round 1: 33 instances, label prob 0.35, model policy_K20_seedsplit_seed0_cw0.pt
  ScenarioTracker saved: /mnt/beegfs/users/celinep/ChargeAndBreak/ML/logs/RshortCfewTnone_5_DAGGER1_S1_H24_20260821_095130_scenarios.json

  === SIMULATION TRAJECTORY ===
  stop   type    t_arr     soc     cd     sd     sw   y   brk   rst  action
  ───────────────────────────────────────────────────────────────────────────────────────────────
     0   ORIG    8.000   500.0   0.00   0.00   0.00   0     —     —  —
     1     CS    8.235   474.2   0.24   0.24   0.24   0     —     —  —
     2     CS    8.470   448.3   0.47   0.47   0.47   0     —     —  —
     3     CS    8.723   424.0   0.72   0.72   0.72   0     —     —  —
     4     CS    9.014   393.8   1.01   1.01   1.01   0     —     —  —
     5     CS    9.301   363.3   1.30   1.30   1.30   0     —     —  —
     6     CS    9.609   334.3   1.61   1.61   1.61   0     —     —  —
     7     CS    9.894   304.7   1.89   1.89   1.89   0     —     —  —
     8     CS   10.200   276.7   2.20   2.20   2.20   0     —     —  —
     9     CS   10.449   248.6   2.45   2.45   2.45   0     —     —  —
    10   CUST   10.693   220.0   2.69   2.69   2.69   0     —     —  —
    11     CS   11.438   196.1   2.94   2.94   3.44   0     —     —  —
    12     CS   11.662   170.5   3.16   3.16   3.66   0     —     —  —
    13     CS   11.923   147.7   3.42   3.42   3.92   0     —     —  —
    14     CS   12.184   122.8   3.68   3.68   4.18   1   b45     —  CHARGE, BRK-B45
    15     CS   13.564   384.5   0.30   3.98   4.71   0     —     —  —
    16     CS   13.872   356.6   0.61   4.29   5.02   0     —     —  —
    17     CS   14.162   326.3   0.90   4.58   5.31   0     —     —  —
    18     CS   14.491   298.7   1.23   4.91   5.63   0     —     —  —
    19     CS   14.772   267.6   1.51   5.19   5.92   0     —     —  —
    20     CS   15.033   237.0   1.77   5.45   6.18   0     —     —  —
    21     CS   15.293   206.4   2.03   5.71   6.44   0     —     —  —
    22     CS   15.513   181.5   2.25   5.93   6.66   0     —     —  —
    23     CS   15.731   156.6   2.47   6.15   6.87   0     —     —  —
    24     CS   15.970   133.3   2.71   6.39   7.11   0     —     —  —
    25     CS   16.214   110.4   2.95   6.64   7.36   1   b45     —  CHARGE, BRK-B45
    26     CS   17.431   353.3   0.25   6.89   7.80   0     —     —  —
    27     CS   17.679   324.0   0.50   7.14   8.05   0     —     —  —
    28     CS   17.925   300.7   0.75   7.38   8.29   0     —     —  —
    29     CS   18.173   277.5   1.00   7.63   8.54   0     —     —  —
    30     CS   18.558   259.1   1.38   8.02   8.93   0     —     —  —
    31     CS   18.780   233.9   1.60   8.24   9.15   0     —     —  —
    32     CS   19.021   212.8   1.84   8.48   9.39   0     —     —  —
    33     CS   19.236   189.9   2.06   8.69   9.60   0     —     —  —
    34   CUST   19.441   166.0   2.26   8.90   9.81   0     —    r2  REST-R2
    35     CS   29.166   140.5   0.23   0.23   0.23   1   b45     —  CHARGE, BRK-B45
    36     CS   30.861   287.8   0.49   0.72   1.17   0     —     —  —
    37     CS   31.081   262.3   0.71   0.94   1.39   0     —     —  —
    38     CS   31.303   236.8   0.93   1.16   1.61   0     —     —  —
    39     CS   31.519   210.7   1.15   1.37   1.83   0     —     —  —
    40     CS   31.779   180.9   1.41   1.63   2.09   0     —     —  —
    41     CS   32.038   151.0   1.67   1.89   2.35   0     —     —  —
    42     CS   32.296   120.9   1.93   2.15   2.61   1     —     —  CHARGE
    43     CS   33.014   191.3   2.17   2.40   3.32   0     —     —  —
[1/33] RshortCfewTnone_5            labelled   14 states in  11.0 min
  ScenarioTracker saved: /mnt/beegfs/users/celinep/ChargeAndBreak/ML/logs/RshortCmanyTtight_17_DAGGER1_S1_H24_20260821_100232_scenarios.json

  === SIMULATION TRAJECTORY ===
  stop   type    t_arr     soc     cd     sd     sw   y   brk   rst  action
  ───────────────────────────────────────────────────────────────────────────────────────────────
     0   ORIG    8.000   500.0   0.00   0.00   0.00   0     —     —  —
     1     CS    8.262   476.2   0.26   0.26   0.26   0     —     —  —
     2     CS    8.520   452.2   0.52   0.52   0.52   0     —     —  —
     3     CS    8.771   427.7   0.77   0.77   0.77   0     —     —  —
     4     CS    9.001   407.3   1.00   1.00   1.00   0     —     —  —
     5     CS    9.207   385.1   1.21   1.21   1.21   0     —     —  —
     6     CS    9.409   362.6   1.41   1.41   1.41   0     —     —  —
     7     CS    9.651   334.3   1.65   1.65   1.65   0     —     —  —
     8     CS    9.926   308.6   1.93   1.93   1.93   0     —     —  —
     9   CUST   10.183   281.6   2.18   2.18   2.18   0     —     —  —
    10     CS   11.072   262.9   2.57   2.57   3.07   0     —     —  —
    11     CS   11.307   238.2   2.81   2.81   3.31   0     —     —  —
    12     CS   11.564   215.2   3.06   3.06   3.56   0     —     —  —
    13     CS   11.763   191.9   3.26   3.26   3.76   0     —     —  —
    14     CS   11.975   168.8   3.48   3.48   3.98   0     —     —  —
    15     CS   12.181   145.0   3.68   3.68   4.18   0     —     —  —
    16     CS   12.403   122.6   3.90   3.90   4.40   1   b45     —  CHARGE, BRK-B45
    17     CS   13.899   387.1   0.33   4.23   5.02   0     —     —  —
    18   CUST   14.208   356.1   0.64   4.54   5.33   0     —     —  —
    19     CS   14.752   351.9   0.68   4.59   5.88   0     —     —  —
    20     CS   14.962   329.6   0.89   4.80   6.09   0     —     —  —
    21     CS   15.244   311.3   1.18   5.08   6.37   0     —     —  —
    22     CS   15.464   289.8   1.40   5.30   6.59   0     —     —  —
    23     CS   15.710   261.1   1.64   5.54   6.83   0     —     —  —
    24     CS   15.983   234.6   1.92   5.82   7.11   0     —     —  —
    25     CS   16.307   210.9   2.24   6.14   7.43   1   b45     —  CHARGE, BRK-B45
    26     CS   17.632   332.8   0.29   6.44   8.01   0     —     —  —
    27   CUST   17.944   303.1   0.60   6.75   8.32   0     —    r2  REST-R2
    28   CUST   27.541   291.8   0.10   0.10   0.10   0     —     —  —
    29     CS   28.502   243.9   0.56   0.56   1.06   0     —     —  —
    30   CUST   28.959   192.4   1.02   1.02   1.52   0     —     —  —
    31   CUST   29.761   157.3   1.32   1.32   2.32   0     —     —  —
    32     CS   30.320   150.8   1.38   1.38   2.88   1   b45     —  CHARGE, BRK-B45
    33   CUST   31.323   370.5   0.02   1.39   3.13   0     —     —  —
