  Executing ROBU plan AS IS (static, no recourse)...
  stop  36  t=42.707h soc=128kWh  cd=0.87 sd=0.87 h=0.87  -> y=0 brk=--- rst=---
  stop  37  t=42.979h soc=100kWh  cd=1.14 sd=1.14 h=1.14  -> y=1 brk=--- rst=---
  stop  38  t=44.033h soc=205kWh  cd=1.46 sd=1.46 h=2.19  -> y=0 brk=--- rst=---
  stop  39  t=44.416h soc=180kWh  cd=1.84 sd=1.84 h=2.58  -> y=0 brk=--- rst=---
  stop  40  t=44.708h soc=152kWh  cd=2.14 sd=2.14 h=2.87  -> y=0 brk=--- rst=---
  stop  41  t=44.992h soc=124kWh  cd=2.42 sd=2.42 h=3.15  -> y=0 brk=--- rst=---
  stop  42  t=45.270h soc=100kWh  cd=2.70 sd=2.70 h=3.43  -> y=1 brk=b45 rst=---
  stop  43  t=46.723h soc=278kWh  cd=0.41 sd=3.11 h=4.88  -> y=0 brk=--- rst=---
  stop  44  t=46.965h soc=256kWh  cd=0.65 sd=3.35 h=5.13  -> y=0 brk=--- rst=---
  stop  45  t=47.199h soc=234kWh  cd=0.88 sd=3.58 h=5.36  -> y=0 brk=--- rst=---
  stop  46  t=47.421h soc=211kWh  cd=1.11 sd=3.80 h=5.58  -> y=0 brk=--- rst=---
  stop  47  t=47.644h soc=188kWh  cd=1.33 sd=4.03 h=5.80  -> y=0 brk=--- rst=---
  stop  48  t=47.955h soc=163kWh  cd=1.64 sd=4.34 h=6.12  -> y=0 brk=--- rst=---
  stop  49  t=48.229h soc=137kWh  cd=1.91 sd=4.61 h=6.39  -> y=1 brk=b15 rst=---
  stop  50  t=49.084h soc=233kWh  cd=2.15 sd=4.85 h=7.24  -> y=0 brk=--- rst=---
  stop  51  t=49.323h soc=210kWh  cd=2.39 sd=5.09 h=7.48  -> y=0 brk=--- rst=r2
  stop  52  t=58.722h soc=188kWh  cd=0.23 sd=0.23 h=0.23  -> y=0 brk=--- rst=---
  stop  53  t=58.968h soc=164kWh  cd=0.48 sd=0.48 h=0.48  -> y=0 brk=--- rst=---
  stop  54  t=59.237h soc=141kWh  cd=0.75 sd=0.75 h=0.75  -> y=0 brk=--- rst=---
  stop  55  t=59.482h soc=117kWh  cd=0.99 sd=0.99 h=0.99  -> y=0 brk=--- rst=---
  stop  56  t=59.735h soc=100kWh  cd=1.25 sd=1.25 h=1.25  -> y=1 brk=b45 rst=---
  stop  57  t=61.417h soc=318kWh  cd=0.28 sd=1.53 h=2.93  -> y=0 brk=--- rst=---
  stop  58  t=61.722h soc=291kWh  cd=0.59 sd=1.84 h=3.23  -> y=0 brk=--- rst=---
  stop  59  t=62.490h soc=268kWh  cd=0.86 sd=2.10 h=4.00  -> y=0 brk=--- rst=---
  stop  60  t=62.799h soc=246kWh  cd=1.17 sd=2.41 h=4.31  -> y=0 brk=--- rst=---
  stop  61  t=63.078h soc=224kWh  cd=1.45 sd=2.69 h=4.59  -> y=0 brk=--- rst=---
  stop  62  t=63.173h soc=214kWh  cd=1.54 sd=2.79 h=4.68  -> y=0 brk=--- rst=---
  stop  63  t=63.724h soc=209kWh  cd=1.59 sd=2.84 h=5.23  -> y=0 brk=--- rst=---
  stop  64  t=63.976h soc=187kWh  cd=1.84 sd=3.09 h=5.49  -> y=0 brk=--- rst=---
  stop  65  t=64.209h soc=163kWh  cd=2.08 sd=3.32 h=5.72  -> y=0 brk=--- rst=---
  stop  66  t=64.434h soc=141kWh  cd=2.30 sd=3.55 h=5.94  -> y=0 brk=--- rst=---
  stop  67  t=64.666h soc=118kWh  cd=2.53 sd=3.78 h=6.18  -> y=0 brk=--- rst=---
  stop  68  t=64.895h soc=100kWh  cd=2.76 sd=4.01 h=6.40  -> y=1 brk=b45 rst=---
  stop  69  t=66.347h soc=355kWh  cd=0.23 sd=4.23 h=7.86  -> y=0 brk=--- rst=---
  stop  70  t=66.562h soc=335kWh  cd=0.44 sd=4.45 h=8.07  -> y=0 brk=--- rst=---
  stop  71  t=66.916h soc=316kWh  cd=0.79 sd=4.80 h=8.43  -> y=0 brk=--- rst=---
  stop  72  t=67.144h soc=292kWh  cd=1.02 sd=5.03 h=8.65  -> y=0 brk=--- rst=---
  stop  73  t=67.422h soc=271kWh  cd=1.30 sd=5.31 h=8.93  -> y=0 brk=--- rst=---
  stop  74  t=67.658h soc=247kWh  cd=1.54 sd=5.55 h=9.17  -> y=0 brk=--- rst=---
  stop  75  t=67.884h soc=227kWh  cd=1.76 sd=5.77 h=9.39  -> y=0 brk=--- rst=---
  stop  76  t=68.111h soc=207kWh  cd=1.99 sd=6.00 h=9.62  -> y=0 brk=--- rst=---
  stop  77  t=68.317h soc=186kWh  cd=2.20 sd=6.20 h=9.83  -> y=0 brk=--- rst=---
  stop  78  t=68.550h soc=163kWh  cd=2.43 sd=6.44 h=10.06  -> y=0 brk=--- rst=r2
  stop  79  t=78.030h soc=142kWh  cd=0.31 sd=0.31 h=0.31  -> y=0 brk=--- rst=---
  stop  80  t=78.257h soc=119kWh  cd=0.54 sd=0.54 h=0.54  -> y=0 brk=--- rst=---
