
Gurobi 9.5.2 (linux64) logging started Thu Aug 13 16:06:03 2026

Set parameter LogFile to value "/mnt/beegfs/users/celinep/ChargeAndBreak/logs/oracle_RlongCmanyTnone_22__kw700_gurobi.log"
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 16 physical cores, 32 logical processors, using up to 32 threads
Optimize a model with 8057 rows, 4251 columns and 127995 nonzeros
Model fingerprint: 0x44ed37f9
Variable types: 2678 continuous, 1573 integer (1573 binary)
Coefficient statistics:
  Matrix range     [4e-02, 2e+03]
  Objective range  [5e-01, 1e+00]
  Bounds range     [1e+00, 5e+01]
  RHS range        [2e-02, 2e+07]

User MIP start produced solution with objective 103.983 (0.09s)
Loaded user MIP start with objective 103.983

Presolve removed 2537 rows and 823 columns
Presolve time: 1.10s
Presolved: 5520 rows, 3428 columns, 116079 nonzeros
Variable types: 2047 continuous, 1381 integer (1381 binary)
Root relaxation presolve removed 151 rows and 94 columns
Root relaxation presolved: 5369 rows, 3334 columns, 88696 nonzeros


Root relaxation: objective 8.641169e+01, 5795 iterations, 1.35 seconds (1.30 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0   86.41169    0  404  103.98258   86.41169  16.9%     -    3s
H    0     0                     103.4825818   86.41169  16.5%     -    3s
     0     0   88.19477    0  344  103.48258   88.19477  14.8%     -    5s
     0     0   88.19789    0  351  103.48258   88.19789  14.8%     -    5s
     0     0   88.19803    0  351  103.48258   88.19803  14.8%     -    5s
     0     0   88.71478    0  413  103.48258   88.71478  14.3%     -    6s
     0     0   88.73272    0  402  103.48258   88.73272  14.3%     -    7s
     0     0   88.73481    0  430  103.48258   88.73481  14.3%     -    7s
     0     0   88.73481    0  436  103.48258   88.73481  14.3%     -    7s
     0     0   88.92875    0  468  103.48258   88.92875  14.1%     -    8s
     0     0   88.96441    0  486  103.48258   88.96441  14.0%     -    9s
     0     0   88.98628    0  493  103.48258   88.98628  14.0%     -    9s
     0     0   88.98675    0  489  103.48258   88.98675  14.0%     -    9s
     0     0   89.13036    0  417  103.48258   89.13036  13.9%     -   10s
     0     0   89.16403    0  433  103.48258   89.16403  13.8%     -   11s
     0     0   89.17185    0  422  103.48258   89.17185  13.8%     -   12s
     0     0   89.17228    0  449  103.48258   89.17228  13.8%     -   12s
     0     0   89.36822    0  390  103.48258   89.36822  13.6%     -   14s
     0     0   89.37915    0  429  103.48258   89.37915  13.6%     -   14s
     0     0   89.38131    0  422  103.48258   89.38131  13.6%     -   14s
     0     0   89.38550    0  417  103.48258   89.38550  13.6%     -   14s
     0     0   89.38585    0  419  103.48258   89.38585  13.6%     -   14s
     0     0   89.56721    0  413  103.48258   89.56721  13.4%     -   17s
H    0     0                     103.2813754   89.56721  13.3%     -   17s
     0     0   89.57449    0  472  103.28138   89.57449  13.3%     -   17s
     0     0   89.57790    0  470  103.28138   89.57790  13.3%     -   17s
     0     0   89.57821    0  483  103.28138   89.57821  13.3%     -   17s
     0     0   89.71312    0  443  103.28138   89.71312  13.1%     -   20s
     0     0   89.77897    0  400  103.28138   89.77897  13.1%     -   21s
     0     0   89.79485    0  452  103.28138   89.79485  13.1%     -   22s
