  Executing ROBU plan AS IS (static, no recourse)...
  stop  38  t=34.589h soc=160kWh  cd=0.85 sd=3.80 h=6.73  -> y=0 brk=--- rst=---
  stop  39  t=34.804h soc=140kWh  cd=1.07 sd=4.02 h=6.94  -> y=0 brk=--- rst=---
  stop  40  t=35.049h soc=121kWh  cd=1.31 sd=4.27 h=7.19  -> y=0 brk=--- rst=---
  stop  41  t=35.275h soc=101kWh  cd=1.54 sd=4.49 h=7.41  -> y=1 brk=--- rst=---
  stop  42  t=36.312h soc=206kWh  cd=1.82 sd=4.77 h=8.45  -> y=0 brk=--- rst=r2
  stop  43  t=45.744h soc=182kWh  cd=0.26 sd=0.26 h=0.26  -> y=0 brk=--- rst=---
  stop  44  t=46.090h soc=160kWh  cd=0.61 sd=0.61 h=0.61  -> y=0 brk=--- rst=---
  stop  45  t=46.343h soc=136kWh  cd=0.86 sd=0.86 h=0.86  -> y=0 brk=--- rst=---
  stop  46  t=46.817h soc=104kWh  cd=1.34 sd=1.34 h=1.34  -> y=1 brk=--- rst=---
  stop  47  t=47.827h soc=215kWh  cd=1.66 sd=1.66 h=2.35  -> y=0 brk=--- rst=---
  stop  48  t=48.238h soc=193kWh  cd=2.08 sd=2.08 h=2.76  -> y=0 brk=--- rst=---
  stop  49  t=48.527h soc=170kWh  cd=2.36 sd=2.36 h=3.05  -> y=0 brk=--- rst=---
  stop  50  t=48.755h soc=148kWh  cd=2.59 sd=2.59 h=3.28  -> y=0 brk=--- rst=---
  stop  51  t=48.997h soc=126kWh  cd=2.83 sd=2.83 h=3.52  -> y=0 brk=--- rst=---
  stop  52  t=49.254h soc=105kWh  cd=3.09 sd=3.09 h=3.78  -> y=1 brk=b45 rst=---
  stop  53  t=50.583h soc=296kWh  cd=0.28 sd=3.37 h=5.10  -> y=0 brk=--- rst=---
  stop  54  t=50.853h soc=271kWh  cd=0.55 sd=3.64 h=5.37  -> y=0 brk=--- rst=---
  stop  55  t=51.145h soc=247kWh  cd=0.84 sd=3.94 h=5.67  -> y=0 brk=--- rst=---
  stop  56  t=51.414h soc=223kWh  cd=1.11 sd=4.20 h=5.94  -> y=0 brk=--- rst=---
  stop  57  t=51.863h soc=199kWh  cd=1.56 sd=4.65 h=6.38  -> y=0 brk=--- rst=---
  stop  58  t=52.125h soc=172kWh  cd=1.82 sd=4.92 h=6.65  -> y=1 brk=b45 rst=---
  stop  59  t=53.666h soc=322kWh  cd=0.45 sd=5.37 h=8.19  -> y=0 brk=--- rst=---
