=================================================================
  ROBU SOLVE START   (2026-07-24 13:16:15)
  Instance : RmediumCfewTlarge_4 — medium route, few customers, large windows, seed=4   run_id=RmediumCfewTlarge_4_ROBU_20260722_134924_033
  Route    : 121 stops  departure=8:00
  Model    : budgeted RO (Bertsimas-Sim, Gamma=27 of 121 legs, eps=0.01), C&CG cutting-plane, no recourse
=================================================================
  [it 1] master: |scen|=1  theta=79.239h  status=optimal  (88.3s)
  [it 1] adversary: 3 feasibility cut(s) [global, cd[0-14], cd[15-22]]  (2.0s)
  [it 2] master: |scen|=4  theta=96.934h  status=maxTimeLimit  (7202.1s)
  [it 2] adversary: 3 feasibility cut(s) [cd[8-19], cd[38-50], cd[51-60]]  (2.1s)
  [it 3] master: |scen|=7  theta=97.385h  status=maxTimeLimit  (7202.8s)
  [it 3] adversary: 3 feasibility cut(s) [cd[29-40], cd[61-70], cd[71-81]]  (8.2s)
  [it 4] master: |scen|=10  theta=98.031h  status=maxTimeLimit  (7207.0s)
  [it 4] adversary: 3 feasibility cut(s) [cd[23-33], cd[45-56], cd[68-78]]  (11.0s)
  [it 5] master: |scen|=13  theta=113.762h  status=maxTimeLimit  (7208.4s)
  [it 5] adversary: 3 feasibility cut(s) [cd[54-66], cd[109-120], shift[0-28]]  (15.2s)
  [it 6] master: |scen|=16  theta=122.635h  status=maxTimeLimit  (7206.2s)
  [it 6] adversary: 3 feasibility cut(s) [cd[42-53], cd[79-92], shift[29-58]]  (8.8s)
  [it 7] master solve aborted with no incumbent (ValueError) after 7206.4s.
      Falling back to the iteration-6 plan (robu_converged=False).
  [!] Loop ended without adversary certification (max_iter=12 exhausted or master aborted); executing the last available plan (robu_converged=False).

  ROBU objective (worst-case arrival over U_Gamma) : 122.635 h   Gamma=27  scenarios=19  cuts: 18 feas / 0 opt   solve 43368.4s
  plan: 15 chg / 10 brk / 6 rst

  Executing ROBU plan AS IS (static, no recourse)...
  stop  39  t=53.510h soc=205kWh  cd=1.29 sd=2.60 h=4.07  -> y=0 brk=--- rst=---
  stop  40  t=53.768h soc=182kWh  cd=1.55 sd=2.86 h=4.33  -> y=0 brk=--- rst=---
  stop  41  t=54.014h soc=158kWh  cd=1.79 sd=3.11 h=4.58  -> y=0 brk=--- rst=---
  stop  42  t=54.467h soc=114kWh  cd=2.24 sd=3.56 h=5.03  -> y=1 brk=b45 rst=---
  stop  43  t=55.793h soc=299kWh  cd=0.26 sd=3.82 h=6.36  -> y=0 brk=--- rst=---
  stop  44  t=56.063h soc=274kWh  cd=0.53 sd=4.09 h=6.63  -> y=0 brk=--- rst=---
  stop  45  t=56.348h soc=249kWh  cd=0.81 sd=4.37 h=6.91  -> y=0 brk=--- rst=---
  stop  46  t=56.587h soc=228kWh  cd=1.05 sd=4.61 h=7.15  -> y=0 brk=--- rst=---
  stop  47  t=56.807h soc=207kWh  cd=1.27 sd=4.83 h=7.37  -> y=0 brk=--- rst=---
  stop  48  t=57.020h soc=186kWh  cd=1.48 sd=5.04 h=7.58  -> y=0 brk=--- rst=---
  stop  49  t=57.239h soc=167kWh  cd=1.70 sd=5.26 h=7.80  -> y=0 brk=--- rst=---
  stop  50  t=57.458h soc=149kWh  cd=1.92 sd=5.48 h=8.02  -> y=0 brk=--- rst=---
  stop  51  t=57.679h soc=130kWh  cd=2.14 sd=5.70 h=8.24  -> y=1 brk=--- rst=---
  stop  52  t=58.410h soc=191kWh  cd=2.37 sd=5.93 h=8.97  -> y=0 brk=--- rst=---
  stop  53  t=58.647h soc=167kWh  cd=2.61 sd=6.17 h=9.21  -> y=0 brk=--- rst=---
  stop  54  t=58.902h soc=145kWh  cd=2.86 sd=6.42 h=9.46  -> y=1 brk=b45 rst=---
  stop  55  t=60.272h soc=357kWh  cd=0.25 sd=6.67 h=10.83  -> y=0 brk=--- rst=---
  stop  56  t=60.521h soc=334kWh  cd=0.50 sd=6.92 h=11.08  -> y=0 brk=--- rst=---
  stop  57  t=60.764h soc=310kWh  cd=0.74 sd=7.16 h=11.33  -> y=0 brk=--- rst=---
  stop  58  t=61.016h soc=287kWh  cd=0.99 sd=7.41 h=11.58  -> y=0 brk=--- rst=---
  stop  59  t=61.253h soc=262kWh  cd=1.23 sd=7.65 h=11.82  -> y=0 brk=--- rst=r2
  stop  60  t=70.659h soc=238kWh  cd=0.24 sd=0.24 h=0.24  -> y=0 brk=--- rst=---
  stop  61  t=70.908h soc=214kWh  cd=0.49 sd=0.49 h=0.49  -> y=0 brk=--- rst=---
  stop  62  t=71.165h soc=193kWh  cd=0.74 sd=0.74 h=0.74  -> y=0 brk=--- rst=---
  stop  63  t=71.397h soc=170kWh  cd=0.98 sd=0.98 h=0.98  -> y=0 brk=--- rst=---
  stop  64  t=71.624h soc=147kWh  cd=1.20 sd=1.20 h=1.20  -> y=0 brk=--- rst=---
  stop  65  t=71.839h soc=127kWh  cd=1.42 sd=1.42 h=1.42  -> y=0 brk=--- rst=---
  stop  66  t=72.036h soc=107kWh  cd=1.62 sd=1.62 h=1.62  -> y=0 brk=--- rst=---
  stop  67  t=72.235h soc=100kWh  cd=1.81 sd=1.81 h=1.81  -> y=1 brk=--- rst=r1
  stop  68  t=84.356h soc=181kWh  cd=0.42 sd=0.42 h=0.42  -> y=0 brk=--- rst=---
  stop  69  t=84.675h soc=154kWh  cd=0.73 sd=0.73 h=0.73  -> y=0 brk=--- rst=---
  stop  70  t=84.963h soc=125kWh  cd=1.02 sd=1.02 h=1.02  -> y=0 brk=--- rst=---
  stop  71  t=85.273h soc=100kWh  cd=1.33 sd=1.33 h=1.33  -> y=1 brk=b45 rst=---
  stop  72  t=86.500h soc=292kWh  cd=0.24 sd=1.57 h=2.56  -> y=0 brk=--- rst=---
  stop  73  t=86.762h soc=269kWh  cd=0.50 sd=1.83 h=2.82  -> y=0 brk=--- rst=---
  stop  74  t=87.017h soc=242kWh  cd=0.76 sd=2.09 h=3.08  -> y=0 brk=--- rst=---
  stop  75  t=87.281h soc=216kWh  cd=1.02 sd=2.35 h=3.34  -> y=0 brk=--- rst=---
  stop  76  t=87.558h soc=191kWh  cd=1.30 sd=2.63 h=3.62  -> y=0 brk=--- rst=---
  stop  77  t=87.786h soc=169kWh  cd=1.52 sd=2.86 h=3.85  -> y=0 brk=--- rst=---
  stop  78  t=88.011h soc=147kWh  cd=1.75 sd=3.08 h=4.07  -> y=0 brk=--- rst=---
  stop  79  t=88.231h soc=125kWh  cd=1.97 sd=3.30 h=4.29  -> y=1 brk=b45 rst=---
  stop  80  t=89.576h soc=312kWh  cd=0.30 sd=3.60 h=5.64  -> y=0 brk=--- rst=---
  stop  81  t=89.819h soc=289kWh  cd=0.54 sd=3.85 h=5.88  -> y=0 brk=--- rst=---
  stop  82  t=90.065h soc=266kWh  cd=0.79 sd=4.09 h=6.12  -> y=0 brk=--- rst=---
  stop  83  t=90.284h soc=243kWh  cd=1.01 sd=4.31 h=6.34  -> y=0 brk=--- rst=---
  stop  84  t=90.520h soc=222kWh  cd=1.24 sd=4.55 h=6.58  -> y=0 brk=--- rst=---
  stop  85  t=90.801h soc=201kWh  cd=1.53 sd=4.83 h=6.86  -> y=0 brk=--- rst=---
  stop  86  t=91.043h soc=180kWh  cd=1.77 sd=5.07 h=7.10  -> y=0 brk=--- rst=---
  stop  87  t=91.786h soc=161kWh  cd=2.01 sd=5.31 h=7.85  -> y=0 brk=--- rst=---
  stop  88  t=92.136h soc=143kWh  cd=2.36 sd=5.66 h=8.20  -> y=0 brk=--- rst=---
  stop  89  t=92.345h soc=123kWh  cd=2.57 sd=5.87 h=8.40  -> y=1 brk=b15 rst=---
  stop  90  t=92.891h soc=207kWh  cd=2.60 sd=5.90 h=8.95  -> y=0 brk=--- rst=---
  stop  91  t=93.644h soc=183kWh  cd=2.85 sd=6.16 h=9.70  -> y=0 brk=--- rst=---
