  Executing ROBU plan AS IS (static, no recourse)...
  stop  38  t=32.163h soc=275kWh  cd=2.61 sd=5.52 h=8.47  -> y=0 brk=--- rst=r1
  stop  39  t=43.562h soc=252kWh  cd=0.23 sd=0.23 h=0.23  -> y=0 brk=--- rst=---
  stop  40  t=43.829h soc=225kWh  cd=0.50 sd=0.50 h=0.50  -> y=0 brk=--- rst=---
  stop  41  t=44.096h soc=198kWh  cd=0.77 sd=0.77 h=0.77  -> y=0 brk=--- rst=---
  stop  42  t=44.368h soc=172kWh  cd=1.04 sd=1.04 h=1.04  -> y=0 brk=--- rst=---
  stop  43  t=44.645h soc=146kWh  cd=1.32 sd=1.32 h=1.32  -> y=0 brk=--- rst=---
  stop  44  t=45.028h soc=120kWh  cd=1.70 sd=1.70 h=1.70  -> y=0 brk=--- rst=---
  stop  45  t=45.318h soc=100kWh  cd=1.99 sd=1.99 h=1.99  -> y=1 brk=--- rst=---
  stop  46  t=46.900h soc=333kWh  cd=2.27 sd=2.27 h=3.57  -> y=0 brk=--- rst=---
  stop  47  t=47.160h soc=308kWh  cd=2.53 sd=2.53 h=3.83  -> y=0 brk=--- rst=---
  stop  48  t=47.418h soc=284kWh  cd=2.79 sd=2.79 h=4.09  -> y=0 brk=--- rst=---
  stop  49  t=47.638h soc=262kWh  cd=3.00 sd=3.00 h=4.31  -> y=0 brk=--- rst=r2
  stop  50  t=57.048h soc=242kWh  cd=0.24 sd=0.24 h=0.24  -> y=0 brk=--- rst=---
  stop  51  t=57.286h soc=221kWh  cd=0.48 sd=0.48 h=0.48  -> y=0 brk=b45 rst=---
  stop  52  t=58.587h soc=181kWh  cd=0.38 sd=0.87 h=1.78  -> y=0 brk=--- rst=---
  stop  53  t=58.808h soc=159kWh  cd=0.61 sd=1.09 h=2.00  -> y=0 brk=--- rst=---
  stop  54  t=59.035h soc=137kWh  cd=0.83 sd=1.31 h=2.23  -> y=0 brk=--- rst=---
  stop  55  t=59.255h soc=115kWh  cd=1.05 sd=1.53 h=2.45  -> y=0 brk=--- rst=---
  stop  56  t=59.477h soc=100kWh  cd=1.27 sd=1.76 h=2.67  -> y=1 brk=--- rst=---
  stop  57  t=60.274h soc=174kWh  cd=1.52 sd=2.00 h=3.47  -> y=0 brk=--- rst=---
  stop  58  t=60.514h soc=151kWh  cd=1.76 sd=2.24 h=3.71  -> y=0 brk=--- rst=---
  stop  59  t=60.750h soc=129kWh  cd=2.00 sd=2.48 h=3.95  -> y=0 brk=--- rst=---
  stop  60  t=60.977h soc=105kWh  cd=2.22 sd=2.71 h=4.17  -> y=1 brk=b45 rst=---
  stop  61  t=62.319h soc=291kWh  cd=0.31 sd=3.01 h=5.51  -> y=0 brk=--- rst=---
  stop  62  t=63.110h soc=268kWh  cd=0.60 sd=3.31 h=6.31  -> y=0 brk=--- rst=---
  stop  63  t=63.430h soc=246kWh  cd=0.92 sd=3.63 h=6.63  -> y=0 brk=--- rst=---
  stop  64  t=63.864h soc=208kWh  cd=1.35 sd=4.06 h=7.06  -> y=0 brk=--- rst=---
  stop  65  t=64.129h soc=183kWh  cd=1.62 sd=4.33 h=7.33  -> y=0 brk=--- rst=---
